lga_code20,lga_name20,lga_type20,area_sqkm,latitude,longitude
<<<<<<< HEAD
53290,Esperance,S,44797.5456,-33.22197255,122.2502815
53360,Exmouth,S,6488.0705,-22.52170213,114.1670118
53430,Fremantle,C,19.0103,-32.05764722,115.7665602
53570,Gingin,S,3208.3585,-31.19158,115.6991741
53640,Gnowangerup,S,4265.0424,-34.06213521,118.288742
53710,Goomalling,S,1835.4294,-31.24284099,116.7847478
53780,Gosnells,C,127.2975,-32.06623178,115.9921368
53800,Greater Geraldton,C,9909.0003,-28.56154787,115.4971485
53920,Halls Creek,S,133061.0128,-19.25821692,127.6169531
53990,Harvey,S,1727.6068,-33.10110481,115.9124956
54060,Irwin,S,2369.3298,-29.32604198,115.0918113
54130,Jerramungup,S,6508.5904,-34.07044001,119.1012654
54170,Joondalup,C,98.9285,-31.78349268,115.7667032
54200,Kalamunda,C,324.2957,-32.01224507,116.1227635
54280,Kalgoorlie/Boulder,C,95498.052,-30.74941314,125.0512267
54310,Karratha,C,15237.3974,-21.04928037,117.0360929
54340,Katanning,S,1518.1854,-33.64830044,117.6842163
54410,Kellerberrin,S,1915.433,-31.58234584,117.8145258
54480,Kent,S,5624.5818,-33.55082935,118.5722355
54550,Kojonup,S,2930.9926,-33.90763659,117.0480118
54620,Kondinin,S,7440.8016,-32.42731714,119.1847992
54690,Koorda,S,2832.3131,-30.59049156,117.4254614
54760,Kulin,S,4718.9219,-32.71752012,118.5761062
54830,Kwinana,C,120.0121,-32.2276902,115.828662
54900,Lake Grace,S,11886.3199,-33.05989716,119.2875284
54970,Laverton,S,179984.601,-27.89112094,125.4014777
55040,Leonora,S,31915.0562,-28.21232792,121.1453661
55110,Mandurah,C,174.8967,-32.63379595,115.682924
55180,Manjimup,S,7029.6077,-34.55714017,116.3256781
55250,Meekatharra,S,100188.5477,-25.14011036,118.8640127
55320,Melville,C,52.8506,-32.04744661,115.8293882
55390,Menzies,S,124110.9368,-29.57510539,123.9709154
55460,Merredin,S,3293.7824,-31.51532775,118.3593488
55530,Mingenew,S,1934.8857,-29.15819915,115.4842493
55600,Moora,S,3763.0254,-30.49805819,116.1854438
55670,Morawa,S,3510.5928,-29.06691948,116.0170873
55740,Mosman Park,T,4.3472,-32.01480439,115.7655457
55810,Mount Magnet,S,13858.1182,-28.2380656,117.9764084
55880,Mount Marshall,S,10184.5937,-30.18376616,117.9621777
55950,Mukinbudin,S,3426.9441,-30.62995354,118.3111358
56090,Mundaring,S,643.2013,-31.8999368,116.2516316
56160,Murchison,S,45046.0922,-26.75184647,116.299754
56230,Murray,S,1703.4688,-32.62366266,115.9894316
56300,Nannup,S,3053.9361,-34.12843586,115.6638961
56370,Narembeen,S,3809.0285,-32.04711572,118.6538482
56460,Narrogin,S,1631.3024,-32.99537812,117.2622494
56580,Nedlands,C,19.645,-31.97244956,115.7895776
56620,Ngaanyatjarraku,S,159821.7026,-25.09484257,126.8353632
56730,Northam,S,1431.2215,-31.68594733,116.6359961
56790,Northampton,S,12543.7142,-27.75307949,114.6459137
56860,Nungarin,S,1166.0245,-31.14939384,118.2080881
56930,Peppermint Grove,S,1.0677,-31.99933321,115.7671427
57000,Perenjori,S,8301.3551,-29.4439406,116.6114162
57080,Perth,C,13.7193,-31.9601723,115.8465447
